Generación,Mejor Individuo,Fitness
36,"{'x1': 40.512177349553866, 'x2': 2.3972964825377807, 'x3': 365.629786910041, 'y1': 127.98414117512347, 'y2': 78.0889752327084, 'w1': 21.206587022824618, 'w2': 485.64485810879495, 'w3': 4637.827258960432, 'w4': 2461.3832258116845}",119476.60230231626
37,"{'x1': 40.512177349553866, 'x2': 2.3972964825377807, 'x3': 365.629786910041, 'y1': 127.98414117512347, 'y2': 78.0889752327084, 'w1': 21.206587022824618, 'w2': 485.64485810879495, 'w3': 4637.827258960432, 'w4': 2461.3832258116845}",119476.60230231626
38,"{'x1': 40.512177349553866, 'x2': 2.3972964825377807, 'x3': 365.629786910041, 'y1': 127.98414117512347, 'y2': 78.0889752327084, 'w1': 21.206587022824618, 'w2': 485.64485810879495, 'w3': 4637.827258960432, 'w4': 2461.3832258116845}",119476.60230231626
39,"{'x1': 40.512177349553866, 'x2': 2.3972964825377807, 'x3': 365.629786910041, 'y1': 127.98414117512347, 'y2': 78.0889752327084, 'w1': 21.206587022824618, 'w2': 485.64485810879495, 'w3': 4637.827258960432, 'w4': 2461.3832258116845}",119476.60230231626
40,"{'x1': 40.512177349553866, 'x2': 2.3972964825377807, 'x3': 365.629786910041, 'y1': 127.98414117512347, 'y2': 78.0889752327084, 'w1': 21.206587022824618, 'w2': 485.64485810879495, 'w3': 4637.827258960432, 'w4': 2461.3832258116845}",119476.60230231626
41,"{'x1': 40.512177349553866, 'x2': 2.3972964825377807, 'x3': 365.629786910041, 'y1': 127.98414117512347, 'y2': 78.0889752327084, 'w1': 21.206587022824618, 'w2': 485.64485810879495, 'w3': 4637.827258960432, 'w4': 2461.3832258116845}",119476.60230231626
42,"{'x1': 40.512177349553866, 'x2': 2.3972964825377807, 'x3': 365.629786910041, 'y1': 127.98414117512347, 'y2': 78.0889752327084, 'w1': 21.206587022824618, 'w2': 485.64485810879495, 'w3': 4637.827258960432, 'w4': 2461.3832258116845}",119476.60230231626
43,"{'x1': 40.512177349553866, 'x2': 2.3972964825377807, 'x3': 365.629786910041, 'y1': 127.98414117512347, 'y2': 78.0889752327084, 'w1': 21.206587022824618, 'w2': 485.64485810879495, 'w3': 4637.827258960432, 'w4': 2461.3832258116845}",119476.60230231626
44,"{'x1': 40.512177349553866, 'x2': 2.3972964825377807, 'x3': 365.629786910041, 'y1': 127.98414117512347, 'y2': 78.0889752327084, 'w1': 21.206587022824618, 'w2': 485.64485810879495, 'w3': 4637.827258960432, 'w4': 2461.3832258116845}",119476.60230231626
45,"{'x1': 40.512177349553866, 'x2': 2.3972964825377807, 'x3': 365.629786910041, 'y1': 127.98414117512347, 'y2': 78.0889752327084, 'w1': 21.206587022824618, 'w2': 485.64485810879495, 'w3': 4637.827258960432, 'w4': 2461.3832258116845}",119476.60230231626
46,"{'x1': 40.512177349553866, 'x2': 2.3972964825377807, 'x3': 365.629786910041, 'y1': 127.98414117512347, 'y2': 78.0889752327084, 'w1': 21.206587022824618, 'w2': 485.64485810879495, 'w3': 4637.827258960432, 'w4': 2461.3832258116845}",119476.60230231626
47,"{'x1': 40.512177349553866, 'x2': 2.3972964825377807, 'x3': 365.629786910041, 'y1': 127.98414117512347, 'y2': 78.0889752327084, 'w1': 21.206587022824618, 'w2': 485.64485810879495, 'w3': 4637.827258960432, 'w4': 2461.3832258116845}",119476.60230231626
48,"{'x1': 40.512177349553866, 'x2': 2.3972964825377807, 'x3': 365.629786910041, 'y1': 127.98414117512347, 'y2': 78.0889752327084, 'w1': 21.206587022824618, 'w2': 485.64485810879495, 'w3': 4637.827258960432, 'w4': 2461.3832258116845}",119476.60230231626
49,"{'x1': 40.512177349553866, 'x2': 2.3972964825377807, 'x3': 365.629786910041, 'y1': 127.98414117512347, 'y2': 78.0889752327084, 'w1': 21.206587022824618, 'w2': 485.64485810879495, 'w3': 4637.827258960432, 'w4': 2461.3832258116845}",119476.60230231626
50,"{'x1': 40.512177349553866, 'x2': 2.3972964825377807, 'x3': 365.629786910041, 'y1': 127.98414117512347, 'y2': 78.0889752327084, 'w1': 21.206587022824618, 'w2': 485.64485810879495, 'w3': 4637.827258960432, 'w4': 2461.3832258116845}",119476.60230231626
51,"{'x1': 40.512177349553866, 'x2': 2.3972964825377807, 'x3': 365.629786910041, 'y1': 127.98414117512347, 'y2': 78.0889752327084, 'w1': 21.206587022824618, 'w2': 485.64485810879495, 'w3': 4637.827258960432, 'w4': 2461.3832258116845}",119476.60230231626
52,"{'x1': 40.512177349553866, 'x2': 2.3972964825377807, 'x3': 365.629786910041, 'y1': 127.98414117512347, 'y2': 78.0889752327084, 'w1': 21.206587022824618, 'w2': 485.64485810879495, 'w3': 4637.827258960432, 'w4': 2461.3832258116845}",119476.60230231626
53,"{'x1': 40.512177349553866, 'x2': 2.3972964825377807, 'x3': 365.629786910041, 'y1': 127.98414117512347, 'y2': 78.0889752327084, 'w1': 21.206587022824618, 'w2': 485.64485810879495, 'w3': 4637.827258960432, 'w4': 2461.3832258116845}",119476.60230231626
54,"{'x1': 40.512177349553866, 'x2': 2.3972964825377807, 'x3': 365.629786910041, 'y1': 127.98414117512347, 'y2': 78.0889752327084, 'w1': 21.206587022824618, 'w2': 493.5970769826409, 'w3': 4637.827258960432, 'w4': 2461.3832258116845}",120669.43513339316
55,"{'x1': 40.512177349553866, 'x2': 2.3972964825377807, 'x3': 365.629786910041, 'y1': 127.98414117512347, 'y2': 73.55397440484585, 'w1': 21.206587022824618, 'w2': 485.64485810879495, 'w3': 4637.827258960432, 'w4': 2461.3832258116845}",120428.95247616738
56,"{'x1': 40.512177349553866, 'x2': 2.3972964825377807, 'x3': 365.629786910041, 'y1': 127.98414117512347, 'y2': 73.55397440484585, 'w1': 21.206587022824618, 'w2': 485.64485810879495, 'w3': 4637.827258960432, 'w4': 2461.3832258116845}",120428.95247616738
57,"{'x1': 40.512177349553866, 'x2': 2.3972964825377807, 'x3': 365.629786910041, 'y1': 127.98414117512347, 'y2': 73.55397440484585, 'w1': 21.206587022824618, 'w2': 485.64485810879495, 'w3': 4637.827258960432, 'w4': 2461.3832258116845}",120428.95247616738
