Generación,Mejor Posición Global,Fitness
53,"{'x1': 93.24101802476515, 'x2': 0, 'x3': 239.2926786589309, 'y1': 0, 'y2': 240, 'w1': 0, 'w2': 6000, 'w3': 6000.0, 'w4': 0}",973793.4072598614
54,"{'x1': 93.24101803309948, 'x2': 0, 'x3': 239.292678430543, 'y1': 0, 'y2': 240, 'w1': 0, 'w2': 6000, 'w3': 6000.0, 'w4': 0}",973793.4072598614
55,"{'x1': 93.24101803726664, 'x2': 0, 'x3': 239.29267831634903, 'y1': 0, 'y2': 240, 'w1': 0, 'w2': 6000, 'w3': 6000.0, 'w4': 0}",973793.4072598614
56,"{'x1': 93.24101803935022, 'x2': 0, 'x3': 239.29267825925206, 'y1': 0, 'y2': 240, 'w1': 0, 'w2': 6000, 'w3': 6000.0, 'w4': 0}",973793.4072598614
57,"{'x1': 93.241018040392, 'x2': 0, 'x3': 239.29267823070356, 'y1': 0, 'y2': 240.0, 'w1': 0, 'w2': 6000, 'w3': 6000.0, 'w4': 0}",973793.4072598614
58,"{'x1': 93.2410180409129, 'x2': 0, 'x3': 239.29267821642932, 'y1': 0, 'y2': 240.0, 'w1': 0, 'w2': 6000, 'w3': 6000.0, 'w4': 0}",973793.4072598614
59,"{'x1': 93.24101804117335, 'x2': 0, 'x3': 239.2926782092922, 'y1': 0, 'y2': 240.0, 'w1': 0, 'w2': 6000, 'w3': 6000.0, 'w4': 0}",973793.4072598614
60,"{'x1': 93.24101804130358, 'x2': 0, 'x3': 239.29267820572363, 'y1': 0, 'y2': 240.0, 'w1': 0, 'w2': 6000, 'w3': 6000.0, 'w4': 0}",973793.4072598614
61,"{'x1': 93.24101804136869, 'x2': 0, 'x3': 239.29267820393935, 'y1': 0, 'y2': 240.0, 'w1': 0, 'w2': 6000, 'w3': 6000.0, 'w4': 0}",973793.4072598614
62,"{'x1': 93.24101804140125, 'x2': 0, 'x3': 239.29267820304722, 'y1': 0, 'y2': 240.0, 'w1': 0, 'w2': 6000, 'w3': 6000.0, 'w4': 0}",973793.4072598614
63,"{'x1': 93.24101804141752, 'x2': 0, 'x3': 239.29267820260114, 'y1': 0, 'y2': 240.0, 'w1': 0, 'w2': 6000, 'w3': 6000.0, 'w4': 0}",973793.4072598614
64,"{'x1': 93.24101804142566, 'x2': 0, 'x3': 239.2926782023781, 'y1': 0, 'y2': 240.0, 'w1': 0, 'w2': 6000, 'w3': 6000.0, 'w4': 0}",973793.4072598614
